"ObsID" "ObservedClass" "NodeID" "PredictedClass" "PredictClassProb"
"1" 1 1 2 1 1
"2" 2 1 2 1 1
"3" 3 1 2 1 1
"4" 4 1 2 1 1
"5" 5 1 2 1 1
"6" 6 1 2 1 1
"7" 7 1 2 1 1
"8" 8 1 2 1 1
"9" 9 1 2 1 1
"10" 10 1 2 1 1
"11" 11 1 2 1 1
"12" 12 1 2 1 1
"13" 13 1 2 1 1
"14" 14 1 2 1 1
"15" 15 1 2 1 1
"16" 16 1 2 1 1
"17" 17 1 2 1 1
"18" 18 1 2 1 1
"19" 19 1 2 1 1
"20" 20 1 2 1 1
"21" 21 1 2 1 1
"22" 22 1 2 1 1
"23" 23 1 2 1 1
"24" 24 1 2 1 1
"25" 25 1 2 1 1
"26" 26 1 2 1 1
"27" 27 1 2 1 1
"28" 28 1 2 1 1
"29" 29 1 2 1 1
"30" 30 1 2 1 1
"31" 31 1 2 1 1
"32" 32 1 2 1 1
"33" 33 1 2 1 1
"34" 34 1 2 1 1
"35" 35 1 2 1 1
"36" 36 1 2 1 1
"37" 37 1 2 1 1
"38" 38 1 2 1 1
"39" 39 1 2 1 1
"40" 40 1 2 1 1
"41" 41 1 2 1 1
"42" 42 1 2 1 1
"43" 43 1 2 1 1
"44" 44 1 2 1 1
"45" 45 1 2 1 1
"46" 46 1 2 1 1
"47" 47 1 2 1 1
"48" 48 1 2 1 1
"49" 49 1 2 1 1
"50" 50 1 2 1 1
"51" 51 2 6 2 0.979166666666667
"52" 52 2 6 2 0.979166666666667
"53" 53 2 6 2 0.979166666666667
"54" 54 2 6 2 0.979166666666667
"55" 55 2 6 2 0.979166666666667
"56" 56 2 6 2 0.979166666666667
"57" 57 2 6 2 0.979166666666667
"58" 58 2 6 2 0.979166666666667
"59" 59 2 6 2 0.979166666666667
"60" 60 2 6 2 0.979166666666667
"61" 61 2 6 2 0.979166666666667
"62" 62 2 6 2 0.979166666666667
"63" 63 2 6 2 0.979166666666667
"64" 64 2 6 2 0.979166666666667
"65" 65 2 6 2 0.979166666666667
"66" 66 2 6 2 0.979166666666667
"67" 67 2 6 2 0.979166666666667
"68" 68 2 6 2 0.979166666666667
"69" 69 2 6 2 0.979166666666667
"70" 70 2 6 2 0.979166666666667
"71" 71 2 5 3 0.978260869565217
"72" 72 2 6 2 0.979166666666667
"73" 73 2 6 2 0.979166666666667
"74" 74 2 6 2 0.979166666666667
"75" 75 2 6 2 0.979166666666667
"76" 76 2 6 2 0.979166666666667
"77" 77 2 6 2 0.979166666666667
"78" 78 2 7 3 0.666666666666667
"79" 79 2 6 2 0.979166666666667
"80" 80 2 6 2 0.979166666666667
"81" 81 2 6 2 0.979166666666667
"82" 82 2 6 2 0.979166666666667
"83" 83 2 6 2 0.979166666666667
"84" 84 2 7 3 0.666666666666667
"85" 85 2 6 2 0.979166666666667
"86" 86 2 6 2 0.979166666666667
"87" 87 2 6 2 0.979166666666667
"88" 88 2 6 2 0.979166666666667
"89" 89 2 6 2 0.979166666666667
"90" 90 2 6 2 0.979166666666667
"91" 91 2 6 2 0.979166666666667
"92" 92 2 6 2 0.979166666666667
"93" 93 2 6 2 0.979166666666667
"94" 94 2 6 2 0.979166666666667
"95" 95 2 6 2 0.979166666666667
"96" 96 2 6 2 0.979166666666667
"97" 97 2 6 2 0.979166666666667
"98" 98 2 6 2 0.979166666666667
"99" 99 2 6 2 0.979166666666667
"100" 100 2 6 2 0.979166666666667
"101" 101 3 5 3 0.978260869565217
"102" 102 3 5 3 0.978260869565217
"103" 103 3 5 3 0.978260869565217
"104" 104 3 5 3 0.978260869565217
"105" 105 3 5 3 0.978260869565217
"106" 106 3 5 3 0.978260869565217
"107" 107 3 6 2 0.979166666666667
"108" 108 3 5 3 0.978260869565217
"109" 109 3 5 3 0.978260869565217
"110" 110 3 5 3 0.978260869565217
"111" 111 3 5 3 0.978260869565217
"112" 112 3 5 3 0.978260869565217
"113" 113 3 5 3 0.978260869565217
"114" 114 3 5 3 0.978260869565217
"115" 115 3 5 3 0.978260869565217
"116" 116 3 5 3 0.978260869565217
"117" 117 3 5 3 0.978260869565217
"118" 118 3 5 3 0.978260869565217
"119" 119 3 5 3 0.978260869565217
"120" 120 3 7 3 0.666666666666667
"121" 121 3 5 3 0.978260869565217
"122" 122 3 5 3 0.978260869565217
"123" 123 3 5 3 0.978260869565217
"124" 124 3 5 3 0.978260869565217
"125" 125 3 5 3 0.978260869565217
"126" 126 3 5 3 0.978260869565217
"127" 127 3 5 3 0.978260869565217
"128" 128 3 5 3 0.978260869565217
"129" 129 3 5 3 0.978260869565217
"130" 130 3 7 3 0.666666666666667
"131" 131 3 5 3 0.978260869565217
"132" 132 3 5 3 0.978260869565217
"133" 133 3 5 3 0.978260869565217
"134" 134 3 7 3 0.666666666666667
"135" 135 3 7 3 0.666666666666667
"136" 136 3 5 3 0.978260869565217
"137" 137 3 5 3 0.978260869565217
"138" 138 3 5 3 0.978260869565217
"139" 139 3 5 3 0.978260869565217
"140" 140 3 5 3 0.978260869565217
"141" 141 3 5 3 0.978260869565217
"142" 142 3 5 3 0.978260869565217
"143" 143 3 5 3 0.978260869565217
"144" 144 3 5 3 0.978260869565217
"145" 145 3 5 3 0.978260869565217
"146" 146 3 5 3 0.978260869565217
"147" 147 3 5 3 0.978260869565217
"148" 148 3 5 3 0.978260869565217
"149" 149 3 5 3 0.978260869565217
"150" 150 3 5 3 0.978260869565217
